PerceptionValue,MaxSpeed,Layout,GroupsStart,GroupsX1,GroupsX2,GroupsEnd
1.8,1.5,20260908_013309_layout_32,2,2,2,2
1.8,1.5,20260908_013309_layout_33,2,3,3,3
1.8,1.5,20260908_013309_layout_34,3,3,3,3
1.8,1.5,20260908_013309_layout_35,3,3,3,4
1.8,1.5,20260908_013309_layout_36,5,2,2,2
1.8,1.5,20260908_013309_layout_37,3,2,2,2
1.8,1.5,20260908_013309_layout_38,5,2,2,2
1.8,1.5,20260908_013309_layout_39,2,1,3,3
1.8,3.0,20260908_013309_layout_00,2,3,3,5
1.8,3.0,20260908_013309_layout_01,3,2,2,5
1.8,3.0,20260908_013309_layout_02,4,3,2,6
1.8,3.0,20260908_013309_layout_03,3,3,3,5
1.8,3.0,20260908_013309_layout_04,3,3,3,10
1.8,3.0,20260908_013309_layout_05,1,2,2,6
1.8,3.0,20260908_013309_layout_06,2,2,1,4
1.8,3.0,20260908_013309_layout_07,3,3,3,1
1.8,3.0,20260908_013309_layout_08,2,2,3,11
1.8,3.0,20260908_013309_layout_09,4,2,2,4
1.8,3.0,20260908_013309_layout_10,3,5,5,4
1.8,3.0,20260908_013309_layout_11,5,2,3,2
1.8,3.0,20260908_013309_layout_12,2,2,2,9
1.8,3.0,20260908_013309_layout_13,2,3,3,7
1.8,3.0,20260908_013309_layout_14,5,3,3,8
1.8,3.0,20260908_013309_layout_15,4,3,4,6
1.8,3.0,20260908_013309_layout_16,2,2,2,2
1.8,3.0,20260908_013309_layout_17,2,2,2,6
1.8,3.0,20260908_013309_layout_18,3,2,2,6
1.8,3.0,20260908_013309_layout_19,3,3,3,4
1.8,3.0,20260908_013309_layout_20,2,2,2,2
1.8,3.0,20260908_013309_layout_21,3,3,3,4
1.8,3.0,20260908_013309_layout_22,3,2,2,2
1.8,3.0,20260908_013309_layout_23,3,3,3,5
1.8,3.0,20260908_013309_layout_24,4,4,4,3
1.8,3.0,20260908_013309_layout_25,4,4,4,8
1.8,3.0,20260908_013309_layout_26,3,2,2,9
1.8,3.0,20260908_013309_layout_27,4,3,3,5
1.8,3.0,20260908_013309_layout_28,4,3,3,4
1.8,3.0,20260908_013309_layout_29,2,2,2,2
1.8,3.0,20260908_013309_layout_30,3,2,2,5
1.8,3.0,20260908_013309_layout_31,4,3,3,4
1.8,3.0,20260908_013309_layout_32,2,2,2,3
1.8,3.0,20260908_013309_layout_33,2,1,1,6
1.8,3.0,20260908_013309_layout_34,3,2,2,4
1.8,3.0,20260908_013309_layout_35,3,2,2,5
1.8,3.0,20260908_013309_layout_36,2,6,6,6
1.8,3.0,20260908_013309_layout_37,1,2,2,7
1.8,3.0,20260908_013309_layout_38,2,2,2,8
1.8,3.0,20260908_013309_layout_39,1,3,3,9
2.0,1.5,20260908_013309_layout_00,2,3,3,3
2.0,1.5,20260908_013309_layout_01,4,3,3,3
2.0,1.5,20260908_013309_layout_02,6,3,3,3
2.0,1.5,20260908_013309_layout_03,2,3,3,2
2.0,1.5,20260908_013309_layout_04,4,2,2,2
2.0,1.5,20260908_013309_layout_05,1,1,1,2
2.0,1.5,20260908_013309_layout_06,2,2,2,2
2.0,1.5,20260908_013309_layout_07,3,3,3,3
2.0,1.5,20260908_013309_layout_08,2,2,2,2
2.0,1.5,20260908_013309_layout_09,3,2,2,2
2.0,1.5,20260908_013309_layout_10,3,3,3,1
2.0,1.5,20260908_013309_layout_11,5,2,2,2
2.0,1.5,20260908_013309_layout_12,2,2,2,2
2.0,1.5,20260908_013309_layout_13,2,3,3,2
2.0,1.5,20260908_013309_layout_14,5,3,3,3
2.0,1.5,20260908_013309_layout_15,4,3,3,3
2.0,1.5,20260908_013309_layout_16,4,2,2,2
2.0,1.5,20260908_013309_layout_17,2,2,2,2
2.0,1.5,20260908_013309_layout_18,3,2,2,2
2.0,1.5,20260908_013309_layout_19,3,2,2,2
2.0,1.5,20260908_013309_layout_20,2,1,1,4
2.0,1.5,20260908_013309_layout_21,6,1,1,3
2.0,1.5,20260908_013309_layout_22,3,2,2,2
2.0,1.5,20260908_013309_layout_23,5,3,3,3
2.0,1.5,20260908_013309_layout_24,4,2,2,4
2.0,1.5,20260908_013309_layout_25,4,3,3,4
2.0,1.5,20260908_013309_layout_26,3,2,2,3
2.0,1.5,20260908_013309_layout_27,4,2,2,2
2.0,1.5,20260908_013309_layout_28,4,1,1,3
2.0,1.5,20260908_013309_layout_29,3,2,2,2
2.0,1.5,20260908_013309_layout_30,3,2,2,3
2.0,1.5,20260908_013309_layout_31,5,2,2,3
2.0,1.5,20260908_013309_layout_32,3,2,2,2
2.0,1.5,20260908_013309_layout_33,4,2,2,3
2.0,1.5,20260908_013309_layout_34,4,2,2,2
2.0,1.5,20260908_013309_layout_35,3,2,2,2
2.0,1.5,20260908_013309_layout_36,2,2,2,3
2.0,1.5,20260908_013309_layout_37,2,2,2,2
2.0,1.5,20260908_013309_layout_38,4,2,2,3
2.0,1.5,20260908_013309_layout_39,2,2,2,2
2.0,3.0,20260908_013309_layout_00,2,2,2,2
2.0,3.0,20260908_013309_layout_01,3,2,3,5
2.0,3.0,20260908_013309_layout_02,5,2,2,2
2.0,3.0,20260908_013309_layout_03,3,3,3,8
2.0,3.0,20260908_013309_layout_04,4,2,2,3
2.0,3.0,20260908_013309_layout_05,1,3,3,3
2.0,3.0,20260908_013309_layout_06,2,2,2,5
2.0,3.0,20260908_013309_layout_07,3,3,3,4
2.0,3.0,20260908_013309_layout_08,2,1,2,3
2.0,3.0,20260908_013309_layout_09,2,4,4,4
2.0,3.0,20260908_013309_layout_10,3,2,2,2
2.0,3.0,20260908_013309_layout_11,3,2,2,7
2.0,3.0,20260908_013309_layout_12,3,2,2,6
2.0,3.0,20260908_013309_layout_13,2,2,3,10
2.0,3.0,20260908_013309_layout_14,5,3,3,6
2.0,3.0,20260908_013309_layout_15,4,3,3,9
2.0,3.0,20260908_013309_layout_16,2,2,2,4
2.0,3.0,20260908_013309_layout_17,2,2,2,6
2.0,3.0,20260908_013309_layout_18,3,2,2,6
2.0,3.0,20260908_013309_layout_19,3,2,2,4
2.0,3.0,20260908_013309_layout_20,2,1,1,6
2.0,3.0,20260908_013309_layout_21,4,3,3,4
2.0,3.0,20260908_013309_layout_22,3,2,2,2
2.0,3.0,20260908_013309_layout_23,4,3,3,5
2.0,3.0,20260908_013309_layout_24,3,2,2,5
2.0,3.0,20260908_013309_layout_25,4,9,9,5
2.0,3.0,20260908_013309_layout_26,2,2,2,4
2.0,3.0,20260908_013309_layout_27,4,2,2,2
2.0,3.0,20260908_013309_layout_28,3,1,1,9
2.0,3.0,20260908_013309_layout_29,2,2,2,2
2.0,3.0,20260908_013309_layout_30,3,3,3,5
2.0,3.0,20260908_013309_layout_31,4,2,2,3
2.0,3.0,20260908_013309_layout_32,3,2,2,4
2.0,3.0,20260908_013309_layout_33,4,1,1,7
2.0,3.0,20260908_013309_layout_34,3,2,2,7
